Gold (OG|GC) IG3U26 (0.24 DTE) vs 4383.4 (+17.9) - Intraday Volume
Put: 779  Call: 1,495  Vol: 32.48  Vol Chg: 0.00  Future Chg: +17.9
Strike,Call,Put,Vol Settle
3000,0,0,0.0
3250,0,0,0.0
3500,0,0,0.0
3600,0,0,0.0
3700,0,0,0.0
3750,0,0,0.0
3800,0,0,0.0
3870,0,0,0.0
3875,0,0,0.0
3880,0,0,0.0
3885,0,0,0.0
3890,0,0,0.0
3895,0,0,0.0
3900,0,0,0.0
3905,0,0,0.0
3910,0,0,0.0
3915,0,0,0.0
3920,0,0,0.0
3925,0,0,0.0
3930,0,0,0.0
3935,0,0,0.0
3940,0,0,0.0
3945,0,0,0.0
3950,0,0,0.0
3955,0,0,0.0
3960,0,0,0.0
3965,0,0,0.0
3970,0,0,0.0
3975,0,0,0.0
3980,0,0,0.0
3985,0,0,0.0
3990,0,0,0.0
3995,0,0,0.0
4000,0,0,0.0
4005,0,0,0.0
4010,0,0,0.0
4015,0,0,0.0
4020,0,0,0.0
4025,0,0,0.0
4030,0,0,0.0
4035,0,0,0.0
4040,0,0,0.0
4045,0,0,0.0
4050,0,0,0.0
4055,0,0,0.0
4060,0,0,0.0
4065,0,0,0.0
4070,0,0,0.0
4075,0,0,0.0
4080,0,0,0.0
4085,0,0,0.0
4090,0,0,0.0
4095,0,0,0.0
4100,0,1,0.0
4105,0,0,0.0
4110,0,0,0.0
4115,0,0,0.0
4120,0,0,0.0
4125,0,0,0.0
4130,0,0,0.0
4135,0,0,0.0
4140,0,0,0.0
4145,0,0,0.0
4150,0,0,0.0
4155,0,0,0.0
4160,0,0,0.0
4165,0,0,0.0
4170,0,0,0.0
4175,0,0,0.0
4180,0,0,0.0
4185,0,0,0.0
4190,0,0,0.0
4195,0,0,0.0
4200,0,2,0.0
4205,0,0,0.0
4210,0,2,0.0
4215,0,0,0.0
4220,0,0,0.0
4225,0,0,0.0
4230,0,0,0.0
4235,0,2,0.0
4240,0,3,0.0
4245,0,0,0.0
4250,1,21,0.0
4255,0,25,0.0
4260,0,8,0.0
4265,0,9,0.0
4270,0,13,0.0
4275,0,22,0.0
4280,0,13,0.0
4285,0,3,0.0
4290,0,5,0.0
4295,0,0,0.0
4300,4,22,0.4124
4305,0,8,0.3975
4310,0,14,0.3916
4315,0,0,0.3787
4320,1,10,0.372
4325,0,60,0.3624
4330,0,22,0.3532
4335,0,19,0.3464
4340,9,60,0.3406
4345,11,5,0.3347
4350,196,51,0.3316
4355,5,138,0.3267
4360,136,78,0.3226
4365,9,29,0.3199
4370,108,35,0.3175
4375,23,10,0.314
4380,25,14,0.3157
4385,9,6,0.3291
4390,23,42,0.3261
4395,34,1,0.332
4400,178,23,0.332
4405,18,0,0.3349
4410,83,0,0.3419
4415,39,0,0.347
4420,40,0,0.3502
4425,26,3,0.3558
4430,4,0,0.3652
4435,8,0,0.376
4440,117,0,0.3811
4445,0,0,0.3912
4450,107,0,0.4085
4455,0,0,0.4106
4460,40,0,0.4165
4465,4,0,0.4288
4470,0,0,0.4396
4475,8,0,0.443
4480,0,0,0.0
4485,0,0,0.0
4490,9,0,0.0
4495,2,0,0.0
4500,177,0,0.0
4505,0,0,0.0
4510,4,0,0.0
4515,0,0,0.0
4520,16,0,0.0
4525,1,0,0.0
4530,0,0,0.0
4535,0,0,0.0
4540,6,0,0.0
4545,2,0,0.0
4550,0,0,0.0
4555,0,0,0.0
4560,0,0,0.0
4565,0,0,0.0
4570,0,0,0.0
4575,0,0,0.0
4580,0,0,0.0
4585,0,0,0.0
4590,0,0,0.0
4595,0,0,0.0
4600,7,0,0.0
4605,0,0,0.0
4610,0,0,0.0
4615,0,0,0.0
4620,0,0,0.0
4625,0,0,0.0
4630,0,0,0.0
4635,0,0,0.0
4640,0,0,0.0
4645,0,0,0.0
4650,0,0,0.0
4655,0,0,0.0
4660,0,0,0.0
4665,0,0,0.0
4670,0,0,0.0
4675,0,0,0.0
4680,0,0,0.0
4685,0,0,0.0
4690,0,0,0.0
4695,0,0,0.0
4700,0,0,0.0
4705,0,0,0.0
4710,0,0,0.0
4715,0,0,0.0
4720,0,0,0.0
4725,0,0,0.0
4730,0,0,0.0
4735,0,0,0.0
4740,0,0,0.0
4745,0,0,0.0
4750,0,0,0.0
4755,0,0,0.0
4760,0,0,0.0
4765,0,0,0.0
4770,0,0,0.0
4775,0,0,0.0
4780,0,0,0.0
4785,0,0,0.0
4790,0,0,0.0
4795,0,0,0.0
4800,5,0,0.0
4805,0,0,0.0
4810,0,0,0.0
4825,0,0,0.0
4850,0,0,0.0
4875,0,0,0.0
4900,0,0,0.0
4925,0,0,0.0
4950,0,0,0.0
4975,0,0,0.0
5000,0,0,0.0
5025,0,0,0.0
5050,0,0,0.0
5075,0,0,0.0
5100,0,0,0.0
5200,0,0,0.0
5250,0,0,0.0
5300,0,0,0.0
5400,0,0,0.0
5500,0,0,0.0
5600,0,0,0.0
5750,0,0,0.0
6000,0,0,0.0
10000,0,0,0.0
