Gold (OG|GC) IG3U26 (0.24 DTE) vs 4383.4 (+17.9) - Open Interest
Put: 8,023  Call: 10,989  Vol: 32.48  Vol Chg: 0.00  Future Chg: +17.9
Strike,Call,Put,Vol Settle
3000,0,0,0.0
3250,0,0,0.0
3500,0,0,0.0
3600,0,0,0.0
3700,0,35,0.0
3750,0,3,0.0
3800,0,25,0.0
3870,0,0,0.0
3875,0,0,0.0
3880,0,0,0.0
3885,0,0,0.0
3890,0,0,0.0
3895,0,0,0.0
3900,0,113,0.0
3905,0,0,0.0
3910,0,0,0.0
3915,0,0,0.0
3920,0,0,0.0
3925,0,0,0.0
3930,0,3,0.0
3935,0,0,0.0
3940,0,0,0.0
3945,0,0,0.0
3950,0,2,0.0
3955,0,1,0.0
3960,0,10,0.0
3965,0,10,0.0
3970,0,0,0.0
3975,0,17,0.0
3980,0,1,0.0
3985,0,0,0.0
3990,0,9,0.0
3995,0,1,0.0
4000,0,81,0.0
4005,0,1,0.0
4010,0,0,0.0
4015,0,8,0.0
4020,0,0,0.0
4025,0,157,0.0
4030,0,3,0.0
4035,0,0,0.0
4040,0,1,0.0
4045,0,2,0.0
4050,0,144,0.0
4055,0,4,0.0
4060,0,1,0.0
4065,0,15,0.0
4070,0,1,0.0
4075,0,115,0.0
4080,0,4,0.0
4085,0,4,0.0
4090,0,6,0.0
4095,0,1,0.0
4100,2,341,0.0
4105,0,11,0.0
4110,0,0,0.0
4115,0,24,0.0
4120,0,4,0.0
4125,0,35,0.0
4130,0,11,0.0
4135,0,10,0.0
4140,0,162,0.0
4145,0,18,0.0
4150,0,314,0.0
4155,0,12,0.0
4160,0,15,0.0
4165,0,3,0.0
4170,0,19,0.0
4175,0,56,0.0
4180,2,47,0.0
4185,0,12,0.0
4190,0,21,0.0
4195,0,18,0.0
4200,5,1175,0.0
4205,1,5,0.0
4210,0,7,0.0
4215,0,3,0.0
4220,0,22,0.0
4225,0,66,0.0
4230,1,57,0.0
4235,0,41,0.0
4240,0,50,0.0
4245,4,21,0.0
4250,22,1163,0.0
4255,1,49,0.0
4260,4,49,0.0
4265,5,131,0.0
4270,0,41,0.0
4275,78,160,0.0
4280,16,131,0.0
4285,4,81,0.0
4290,8,25,0.0
4295,1,15,0.0
4300,55,325,0.4124
4305,0,24,0.3975
4310,13,17,0.3916
4315,12,22,0.3787
4320,86,91,0.372
4325,83,326,0.3624
4330,16,34,0.3532
4335,16,77,0.3464
4340,180,58,0.3406
4345,23,22,0.3347
4350,538,623,0.3316
4355,12,15,0.3267
4360,106,23,0.3226
4365,31,21,0.3199
4370,88,87,0.3175
4375,205,79,0.314
4380,160,93,0.3157
4385,30,0,0.3291
4390,42,0,0.3261
4395,27,0,0.332
4400,464,323,0.332
4405,91,0,0.3349
4410,24,0,0.3419
4415,37,0,0.347
4420,71,0,0.3502
4425,152,16,0.3558
4430,125,0,0.3652
4435,35,0,0.376
4440,43,0,0.3811
4445,49,1,0.3912
4450,625,46,0.4085
4455,18,1,0.4106
4460,15,1,0.4165
4465,24,0,0.4288
4470,33,0,0.4396
4475,112,6,0.443
4480,136,0,0.0
4485,8,0,0.0
4490,11,1,0.0
4495,14,0,0.0
4500,671,344,0.0
4505,24,0,0.0
4510,37,0,0.0
4515,17,1,0.0
4520,26,0,0.0
4525,249,14,0.0
4530,28,0,0.0
4535,3,0,0.0
4540,22,0,0.0
4545,1,0,0.0
4550,1089,14,0.0
4555,7,0,0.0
4560,30,0,0.0
4565,2,0,0.0
4570,9,2,0.0
4575,296,21,0.0
4580,234,0,0.0
4585,4,0,0.0
4590,5,0,0.0
4595,3,0,0.0
4600,515,83,0.0
4605,0,0,0.0
4610,11,0,0.0
4615,15,0,0.0
4620,0,0,0.0
4625,139,9,0.0
4630,0,0,0.0
4635,0,0,0.0
4640,0,0,0.0
4645,0,0,0.0
4650,945,0,0.0
4655,8,0,0.0
4660,0,0,0.0
4665,0,0,0.0
4670,2,0,0.0
4675,515,0,0.0
4680,0,0,0.0
4685,100,0,0.0
4690,0,0,0.0
4695,0,0,0.0
4700,911,0,0.0
4705,0,0,0.0
4710,0,0,0.0
4715,0,0,0.0
4720,0,0,0.0
4725,58,0,0.0
4730,0,0,0.0
4735,0,0,0.0
4740,0,0,0.0
4745,0,0,0.0
4750,526,0,0.0
4755,0,0,0.0
4760,0,0,0.0
4765,0,0,0.0
4770,0,0,0.0
4775,18,0,0.0
4780,0,0,0.0
4785,0,0,0.0
4790,2,0,0.0
4795,0,0,0.0
4800,75,0,0.0
4805,0,0,0.0
4810,0,0,0.0
4825,39,0,0.0
4850,105,0,0.0
4875,14,0,0.0
4900,39,0,0.0
4925,57,0,0.0
4950,24,0,0.0
4975,12,0,0.0
5000,53,0,0.0
5025,8,0,0.0
5050,8,0,0.0
5075,6,0,0.0
5100,9,0,0.0
5200,11,0,0.0
5250,0,0,0.0
5300,34,0,0.0
5400,3,0,0.0
5500,0,0,0.0
5600,1,0,0.0
5750,3,0,0.0
6000,2,0,0.0
10000,0,0,0.0
