Gold (OG|GC) OG1U6 (0.66 DTE) vs 4485 (-19.9) - Open Interest
Put: 5,035  Call: 6,687  Vol: 34.01  Vol Chg: -0.20  Future Chg: -19.9
Strike,Call,Put,Vol Settle
4295,0,8,0
4300,5,158,0.5109442468592533
4305,0,20,0.5029382243719738
4310,1,20,0.49507346493373916
4315,0,106,0.4873557699202138
4320,1,44,0.47979074024442525
4325,7,208,0.47238377638495876
4330,1,91,0.46514007840960403
4335,0,93,0.45806464592260454
4340,4,110,0.45116227809012344
4345,1,5,0.4444375736738948
4350,36,150,0.4378949309584641
4355,12,19,0.4315385478157623
4360,11,30,0.42537242168145895
4365,9,156,0.41940034954677685
4370,16,8,0.4136259279557635
4375,68,124,0.40805255304712773
4380,82,34,0.4026834204987608
4385,29,26,0.3975215255486546
4390,209,23,0.39256966301854845
4395,37,4,0.3878304272739115
4400,318,135,0.3833062122512274
4405,26,0,0.37899921145799453
4410,6,17,0.37491141795544536
4415,23,7,0.371044624366732
4420,6,10,0.36740042288602126
4425,113,71,0.36398020526667096
4430,100,0,0.36078516282486817
4435,126,1,0.35781628643871954
4440,60,10,0.35507436655734637
4445,14,0,0.3525599931863326
4450,221,133,0.35027355589318176
4455,14,6,0.3482152438182311
4460,35,3,0.34638504565191397
4465,3,1,0.34478274965749733
4470,30,0,0.3434079436592583
4475,296,289,0.3422600150515791
4480,24,0,0.3413381507716622
4485,16,1,0.34064133734227653
4490,10,0,0.3401683608426538
4495,8,7,0.33991780691576423
4500,212,454,0.3398880607519459
4505,11,0,0.3400773071361982
4510,4,4,0.340483530385427
4515,202,1,0.34110451440392353
4520,31,0,0.3419378426469848
4525,96,88,0.3429808981372844
4530,3,0,0.3442308634494111
4535,5,0,0.3456847207453393
4540,3,2,0.34733925172895397
4545,15,0,0.3491910376778833
4550,183,137,0.35123645942712756
4555,5,0,0.3534716973808827
4560,27,0,0.35589273150435474
4565,0,0,0.35849534132012195
4570,30,0,0.3612751059281436
4575,51,30,0.3642274039784752
4580,0,1,0.3673474136912773
4585,0,0,0.37063011284499225
4590,0,1,0.37407027878361987
4595,3,0,0.3776624884276316
4600,488,131,0.3814011182348622
4605,4,0,0.38528034424325597
4610,0,3,0.3892941420599527
4615,1,0,0.3934362868403696
4620,1,0,0.39770035330548126
4625,198,133,0.402079715758191
4630,10,0,0.4065675480387654
4635,0,0,0.4111568235566665
4640,0,2,0.415840315306923
4645,0,0,0.4206105958255648
4650,146,169,0.42546003721599845
4655,0,0,0.4303808111453691
4660,50,0,0.43536488885365543
4665,0,0,0.4404040411218375
4670,1,0,0.4454898383228283
4675,237,72,0.45061365037872747
4680,4,0,0.45576664676445944
