Gold (OG|GC) G5TM6 (0.13 DTE) vs 4043 (+4.1) - Open Interest
Put: 3,241  Call: 2,961  Vol: 35.84  Vol Chg: 5.19  Future Chg: 4.1
Strike,Call,Put,Vol Settle
3965,1,7,0.37466613003925886
3970,4,30,0.37021566109888226
3975,0,74,0.3658064854951135
3980,0,43,0.361449803350979
3985,0,39,0.35715687925812745
3990,1,76,0.3529390422713732
3995,24,46,0.34880768591096967
4000,3,158,0.3447742681648833
4005,3,20,0.3408503114856103
4010,14,165,0.3370474027894943
4015,8,258,0.33337719346218364
4020,6,69,0.32985139935180996
4025,53,67,0.32648180077239886
4030,7,24,0.32328024250432463
4035,16,12,0.3202586337949924
4040,41,80,0.3174289483540633
4045,57,25,0.31480322435845665
4050,88,50,0.31239356445189514
4055,30,0,0.31021213574217654
4060,21,8,0.30827116980276514
4065,10,1,0.3065829626730192
4070,143,116,0.30515987485728147
4075,97,43,0.30401433132715283
4080,49,10,0.30315882151785445
4085,41,1,0.3026058993316383
4090,66,11,0.3023681831343765
4095,24,6,0.3024583557603364
4100,176,25,0.30288916450740544
4105,20,4,0.303673421139365
4110,33,1,0.3048240018863453
4115,49,2,0.30635384744232397
4120,13,0,0.308275962968537
4125,54,19,0.31060341809120473
