Gold (OG|GC) G4RN6 (0.23 DTE) vs 4079.2 (-72.7) - Open Interest
Put: 2,949  Call: 1,981  Vol: 32.63  Vol Chg: 4.66  Future Chg: -72.7
Strike,Call,Put,Vol Settle
3980,0,9,0
3985,0,26,0
3990,0,8,0
3995,0,7,0
4000,51,425,0
4005,0,1,0
4010,4,13,0
4015,0,3,0
4020,0,14,0.35696024114076863
4025,2,13,0.35063448006076214
4030,4,1,0.34428330213268055
4035,3,80,0.33793368988335715
4040,0,20,0.3316117320009653
4045,15,19,0.3253426234168728
4050,63,153,0.3191506652019598
4055,5,13,0.31305926465574885
4060,6,37,0.3070909352736635
4065,7,6,0.3012672967106482
4070,1,19,0.2956090748684801
4075,165,143,0.29013610179390525
4080,3,63,0.28486731577140745
4085,2,10,0.2798207612358965
4090,5,14,0.27501358883819194
4095,2,10,0.2704620554613939
4100,275,225,0.2661815241081058
4105,7,110,0.26218646403503953
4110,116,94,0.25849045065479004
4115,3,25,0.255106165594043
4120,12,7,0.2520453966826608
4125,74,47,0.24931903791366494
4130,11,11,0.24693708951599547
4135,15,41,0.24490865788175142
4140,25,26,0.24324195558438078
4145,9,8,0.24194430145507795
4150,73,46,0.24102212044454063
4155,19,1,0.24048094373210915
4160,149,7,0.2403254087039386
4165,26,1,0.24055925892025698
4170,32,1,0.24118534415174508
4175,14,0,0.24220562036134652
4180,26,4,0.24362114966424997
