Gold (OG|GC) OG5N6 (0.21 DTE) vs 4084.2 (-45.2) - Open Interest
Put: 7,588  Call: 9,380  Vol: 32.64  Vol Chg: 3.07  Future Chg: -45.2
Strike,Call,Put,Vol Settle
3990,0,28,0.39451952292438364
3995,0,18,0.38825051337698824
4000,9,440,0.3819509087370534
4005,0,8,0.37565107282352983
4010,0,8,0.3693800970686425
4015,1,12,0.3631658005506324
4020,1,47,0.3570347299973946
4025,14,558,0.35101215977192624
4030,1,56,0.34512209191234433
4035,78,7,0.339387256102782
4040,18,19,0.33382910968066426
4045,9,12,0.32846783760760445
4050,27,379,0.32332235247667995
4055,77,116,0.31841029459246784
4060,10,43,0.31374803186918143
4065,0,41,0.30935065988160204
4070,13,18,0.3052320018141472
4075,134,171,0.3014046085772861
4080,12,78,0.29787975864383043
4085,7,38,0.29466745820536744
4090,9,97,0.2917764410667587
4095,7,36,0.28921416864250205
4100,434,298,0.28698683012407855
4105,21,9,0.2850993421852763
4110,45,27,0.2835553492914187
4115,18,59,0.28235722343379166
4120,86,53,0.28150606439157855
4125,390,79,0.28100169944082154
4130,32,19,0.2808426836236322
4135,57,3,0.28102629961358616
4140,125,14,0.28154855763932574
4145,38,10,0.2824041956992005
4150,546,51,0.2835866793320747
4155,9,10,0.28508820181014016
4160,23,0,0.2868996840552427
4165,61,0,0.28901077456976054
4170,24,1,0.291409849509364
4175,333,27,0.29408401276305085
4180,40,2,0.2970190958440071
