Gold (OG|GC) G3WQ6 (0.61 DTE) vs 4356.3 (-31.5) - Open Interest
Put: 1,444  Call: 2,331  Vol: 24.85  Vol Chg: -0.05  Future Chg: -31.5
Strike,Call,Put,Vol Settle
4250,0,15,33.0
4255,0,72,32.5
4260,0,55,32.2
4265,0,0,31.85
4270,0,0,31.5
4275,0,0,31.15
4280,5,15,30.8
4285,0,0,30.45
4290,0,0,30.1
4295,0,0,29.75
4300,35,50,29.4
4305,0,0,29.1
4310,0,0,28.8
4315,0,0,28.5
4320,0,10,28.2
4325,285,270,27.9
4330,0,0,27.6
4335,0,0,27.3
4340,0,0,27.0
4345,0,0,26.7
4350,20,75,26.4
4355,0,10,26.18
4360,20,10,25.96
4365,0,0,25.74
4370,0,0,25.52
4375,15,70,25.3
4380,0,0,25.22
4385,0,10,25.14
4390,0,5,25.06
4395,0,0,24.98
4400,170,15,24.9
4405,0,0,25.0
4410,0,0,25.1
4415,0,0,25.2
4420,0,0,25.3
4425,75,10,25.4
4430,0,0,25.64
4435,0,0,25.88
4440,0,0,26.12
4445,0,0,26.36
4450,420,90,26.6
4455,0,0,26.9
4460,75,0,27.2
4465,0,0,27.47
4470,0,0,27.73
4475,30,0,28.0
4480,30,0,28.4
4485,0,0,28.7
4490,0,0,29.0
4495,0,0,29.0
4500,0,0,29.0
