Gold (OG|GC) G1RU6 (0.24 DTE) vs 4447.5 (+66.8) - Open Interest
Put: 3,814  Call: 3,988  Vol: 35.72  Vol Chg: 4.82  Future Chg: 66.8
Strike,Call,Put,Vol Settle
4330,21,40,0.29194347518750874
4335,40,6,0.2898808693389583
4340,17,23,0.2880794835073175
4345,2,6,0.2865379081140418
4350,77,147,0.2852544086617854
4355,4,12,0.28422692573712993
4360,6,31,0.2834530749632904
4365,14,30,0.2829301470565042
4370,109,43,0.2826551077996555
4375,57,84,0.28262459804409445
4380,89,9,0.28283493371509394
4385,88,24,0.28328210579820734
4390,226,20,0.2839617803656438
4395,119,5,0.28486929854807386
4400,157,158,0.2859996765437245
4405,14,6,0.2873476056411164
4410,21,11,0.2889074521717703
4415,12,0,0.2906732575647766
4420,59,15,0.2926387382885878
4425,88,36,0.294797285921959
4430,8,0,0.2971419670720934
4435,18,0,0.2996655234583159
4440,28,1,0.3023603718247614
4445,5,1,0.3052186040185916
4450,163,202,0.30823198695907195
4455,6,2,0.311391962610287
4460,18,1,0.314689648033891
4465,6,0,0.31811583534727106
4470,24,3,0.32166099173809926
4475,48,84,0.32531525946797046
4480,39,0,0.32906845587967837
4485,55,0,0.3329100733590167
4490,29,0,0.33682927938571083
4495,27,1,0.34081491650613316
4500,76,66,0.3448555023314839
4505,17,0,0.3489392295396101
4510,17,0,0.3530539658968337
4515,11,0,0.3571872542161145
4520,68,1,0.36132631241162017
4525,37,22,0.3654580334205093
4530,11,2,0.3695689853084332
4535,26,0,0.37364541116767214
4540,11,0,0
4545,26,0,0
4550,87,26,0
4555,16,0,0
4560,3,0,0
4565,1,0,0
4570,18,0,0
