Gold (OG|GC) OG2U6 (3.46 DTE) vs 4417.6 (-24.3) - Open Interest
Put: 4,275  Call: 4,761  Vol: 22.62  Vol Chg: 0.00  Future Chg: -24.3
Strike,Call,Put,Vol Settle
4150,0,215,0.273
4175,0,75,0.2673
4200,5,150,0.2615
4225,0,65,0.2557
4250,5,265,0.25
4275,0,90,0.245
4300,5,430,0.24
4325,5,165,0.236
4350,10,790,0.232
4375,5,95,0.2295
4400,10,160,0.227
4425,30,55,0.226
4450,140,115,0.2265
4475,145,215,0.2277
4500,350,310,0.229
4525,300,90,0.232
4550,320,85,0.235
4575,140,5,0.239
4600,375,370,0.243
4625,250,115,0.2485
4650,205,25,0.254
4675,380,10,0.26
4700,380,10,0.266
