Gold (OG|GC) I0HU26 (1.05 DTE) vs 4403.8 (-1.4) - Open Interest
Put: 2,087  Call: 2,474  Vol: 16.20  Vol Chg: 0.00  Future Chg: -1.4
Strike,Call,Put,Vol Settle
3000,0,0,0.0
3250,0,0,0.0
3500,0,0,0.0
3600,0,0,0.0
3700,0,0,0.0
3750,0,0,0.0
3800,0,1,0.995
3900,0,0,0.8393
3950,0,2,0.7621
3975,0,0,0.7237
4000,0,1,0.6854
4005,0,0,0.6777
4010,0,0,0.6701
4015,0,0,0.6625
4020,0,0,0.6548
4025,0,0,0.6472
4030,0,0,0.6395
4035,0,0,0.6319
4040,0,0,0.6242
4045,0,0,0.6166
4050,0,21,0.609
4055,0,0,0.6013
4060,0,0,0.5937
4065,0,0,0.5861
4070,0,0,0.5785
4075,0,20,0.5708
4080,0,0,0.5632
4085,0,0,0.5965
4090,0,0,0.6158
4095,0,0,0.6075
4100,0,35,0.653
4105,0,0,0.5642
4110,0,0,0.5561
4115,0,0,0.548
4120,0,0,0.5655
4125,0,20,0.5571
4130,0,0,0.5487
4135,0,0,0.5402
4140,0,0,0.5318
4145,0,0,0.5423
4150,0,5,0.4913
4155,0,1,0.5404
4160,0,0,0.5315
4165,0,3,0.5475
4170,0,0,0.5138
4175,1,0,0.4507
4180,0,0,0.5086
4185,0,30,0.5619
4190,0,10,0.5588
4195,0,0,0.5019
4200,1,78,0.4101
4205,0,21,0.4514
4210,0,0,0.4424
4215,0,0,0.4953
4220,0,0,0.492
4225,0,7,0.3881
4230,0,30,0.5688
4235,0,0,0.4418
4240,0,0,0.3885
4245,0,0,0.4828
4250,0,46,0.4807
4255,0,0,0.4779
4260,0,2,0.5336
4265,0,1,0.474
4270,0,1,0.4693
4275,9,51,0.4795
4280,0,1,0.4218
4285,0,2,0.6119
4290,0,46,0.5509
4295,0,7,0.3437
4300,1,141,0.362
4305,0,9,0.4572
4310,0,72,0.4116
4315,0,20,0.4709
4320,1,6,0.3503
4325,1,130,0.3354
4330,0,62,0.3284
4335,0,32,0.4611
4340,3,27,0.3418
4345,0,18,0.346
4350,9,84,0.6112
4355,0,2,0.3937
4360,0,0,0.3484
4365,20,1,0.4604
4370,0,3,0.3124
4375,22,74,0.3183
4380,0,4,0.3029
4385,20,3,0.6546
4390,2,27,0.3235
4395,10,2,0.382
4400,72,515,0.3321
4405,3,0,0.1626
4410,2,1,0.2243
4415,1,1,0.3069
4420,4,1,0.4355
4425,9,28,0.158
4430,7,0,0.3395
4435,30,0,0.4045
4440,200,1,0.4067
4445,0,1,0.3055
4450,116,40,0.3478
4455,1,0,0.3615
4460,2,0,0.3363
4465,0,0,0.3323
4470,10,2,0.3389
4475,220,196,0.3318
4480,2,0,0.3478
4485,0,0,0.278
4490,29,0,0.3397
4495,1,0,0.3494
4500,53,31,0.3493
4505,8,0,0.3186
4510,23,0,0.3587
4515,0,0,0.2742
4520,5,0,0.3452
4525,357,21,0.2974
4530,0,0,0.412
4535,0,0,0.3493
4540,0,0,0.3535
4545,1,0,0.3126
4550,43,52,0.3765
4555,0,0,0.3676
4560,0,0,0.3355
4565,1,0,0.3497
4570,0,0,0.3795
4575,29,6,0.3822
4580,3,0,0.3608
4585,2,0,0.3704
4590,2,0,0.3948
4595,0,0,0.3996
4600,146,16,0.393
4605,1,0,0.3832
4610,0,0,0.4115
4615,0,0,0.4144
4620,0,0,0.3748
4625,57,6,0.4507
4630,0,0,0.4272
4635,0,0,0.4359
4640,0,0,0.4365
4645,0,0,0.4156
4650,73,8,0.4445
4655,0,0,0.4528
4660,0,0,0.451
4665,0,0,0.4591
4670,0,0,0.4555
4675,215,0,0.4634
4680,0,0,0.4713
4685,0,0,0.4792
4690,10,0,0.487
4695,0,0,0.4422
4700,96,0,0.4493
4705,0,0,0.4785
4710,0,0,0.4859
4715,0,0,0.4932
4720,0,0,0.5005
4725,110,0,0.5078
4730,0,0,0.4917
4735,0,0,0.4987
4740,0,0,0.5057
4745,0,0,0.5126
4750,50,2,0.5196
4755,0,0,0.5265
4760,0,0,0.5334
4765,0,0,0.5031
4770,0,0,0.5096
4775,99,0,0.5161
4780,0,0,0.5225
4785,0,0,0.5289
4790,0,0,0.5354
4795,0,0,0.5418
4800,32,0,0.5482
4805,0,0,0.5546
4810,0,0,0.5609
4815,0,0,0.5673
4820,0,0,0.5737
4825,10,0,0.58
4830,0,0,0.5863
4835,0,0,0.5926
4840,0,0,0.5989
4845,0,0,0.6052
4850,105,0,0.6115
4855,0,0,0.6177
4860,0,0,0.624
4865,0,0,0.6302
4870,0,0,0.6364
4875,7,0,0.6426
4880,0,0,0.6488
4885,0,0,0.655
4890,0,0,0.6612
4895,0,0,0.6673
4900,18,0,0.6735
4905,0,0,0.6796
4910,0,0,0.6857
4915,0,0,0.6918
4920,0,0,0.6979
4925,7,0,0.704
4930,0,0,0.7101
4935,0,0,0.7162
4940,0,0,0.7222
4945,0,0,0.7283
4950,21,0,0.7343
4955,0,0,0.7403
4975,39,0,0.7643
5000,10,0,0.7941
5025,10,0,0.8236
5050,6,0,0.8528
5075,0,0,0.8818
5100,12,0,0.9106
5200,0,0,0.0
5250,4,0,0.0
5300,0,0,0.0
5400,0,0,0.0
5500,0,0,0.0
5600,0,0,0.0
5750,0,0,0.0
6000,0,0,0.0
