Gold (OG|GC) IG2U26 (1.05 DTE) vs 4362.6 (-64.1) - Open Interest
Put: 5,421  Call: 5,054  Vol: 31.31  Vol Chg: 0.00  Future Chg: -64.1
Strike,Call,Put,Vol Settle
4075,0,26,0.544
4085,0,30,0.562
4100,1,69,0.501
4125,0,169,0.502
4150,0,225,0.493
4175,0,68,0.443
4200,3,254,0.442
4215,0,5,0.516
4225,2,74,0.437
4230,0,1,0.46
4250,0,339,0.413
4255,0,0,0.407
4260,1,12,0.482
4265,0,23,0.484
4275,0,148,0.44
4285,1,51,0.39
4290,0,4,0.49
4295,0,19,0.49
4300,3,667,0.42
4305,0,11,0.387
4310,0,427,0.298
4320,0,8,0.373
4325,6,217,0.995
4335,0,6,0.403
4340,0,25,0.288
4350,41,561,0.379
4355,1,71,0.343
4360,436,15,0.408
4370,7,50,0.391
4375,5,126,0.407
4380,4,3,0.404
4385,11,0,0.443
4390,2,4,0.5
4400,228,213,0.402
4410,1,3,0.444
4415,1,0,0.504
4420,3,16,0.425
4425,33,86,0.755
4430,210,31,0.444
4435,9,5,0.375
4440,8,14,0.685
4450,192,115,0.403
4460,11,0,0.447
4465,12,0,0.462
4470,11,0,0.45
4475,198,228,0.453
4480,25,0,0.454
4490,4,0,0.468
4495,27,0,0.501
4500,752,312,0.453
4510,27,0,0.474
4520,16,0,0.474
4525,234,91,0.479
4530,13,0,0.475
4535,42,0,0.715
4550,948,85,0.454
4560,27,0,0.505
4575,148,4,0.659
4580,11,0,0.536
4600,708,369,0.498
4625,413,119,0.571
4650,218,22,0.615
