Gold (OG|GC) IY2U26 (3.08 DTE) vs 4389.8 (+16.1) - Open Interest
Put: 1,648  Call: 2,752  Vol: 44.99  Vol Chg: 0.00  Future Chg: +16.1
Strike,Call,Put,Vol Settle
3000,0,0,0.0
3250,0,0,0.0
3500,0,0,0.8363
3600,0,0,0.7413
3700,0,2,0.6481
3750,0,0,0.6021
3800,0,3,0.5566
3900,0,12,0.4664
3950,0,14,0.4714
3965,0,0,0.4567
3970,0,1,0.4325
3975,0,7,0.447
3980,0,0,0.4421
3985,0,0,0.4372
3990,0,0,0.4469
3995,0,0,0.4419
4000,0,64,0.4369
4005,0,0,0.4318
4010,0,0,0.4268
4015,0,0,0.4334
4020,0,1,0.4283
4025,0,3,0.4641
4030,0,0,0.4181
4035,0,0,0.4129
4040,0,0,0.4078
4045,0,0,0.4122
4050,0,14,0.4484
4055,0,0,0.4018
4060,0,0,0.4048
4065,0,0,0.3822
4070,0,0,0.3942
4075,0,5,0.3961
4080,0,0,0.3907
4085,0,0,0.3919
4090,0,0,0.3864
4095,0,0,0.3869
4100,0,8,0.397
4105,0,0,0.3812
4110,0,0,0.3807
4115,0,0,0.3751
4120,0,0,0.3741
4125,0,45,0.3728
4130,0,0,0.3712
4135,0,0,0.3694
4140,0,0,0.3673
4145,0,11,0.4164
4150,1,13,0.2633
4155,0,0,0.2897
4160,0,0,0.2538
4165,0,4,0.4154
4170,0,0,0.356
4175,0,20,0.261
4180,0,3,0.2706
4185,0,0,0.3544
4190,0,0,0.3524
4195,0,1,0.3773
4200,0,110,0.2697
4205,0,1,0.2377
4210,0,0,0.3759
4215,0,0,0.3761
4220,0,0,0.3801
4225,0,19,0.3833
4230,0,1,0.2356
4235,0,0,0.2216
4240,0,2,0.3468
4245,0,1,0.3469
4250,0,23,0.2288
4255,0,4,0.3398
4260,0,181,0.2811
4265,1,0,0.2077
4270,1,0,0.3465
4275,4,35,0.4074
4280,0,2,0.448
4285,0,1,0.3496
4290,0,11,0.2208
4295,0,3,0.4953
4300,1,249,0.2107
4305,0,5,0.2216
4310,0,7,0.1945
4315,0,0,0.2011
4320,0,4,0.2218
4325,2,83,0.4246
4330,1,1,0.118
4335,0,0,0.4554
4340,8,3,0.2248
4345,3,0,0.362
4350,1,45,0.2209
4355,0,0,0.3657
4360,0,2,0.0959
4365,3,5,0.2341
4370,3,3,0.132
4375,10,20,0.1363
4380,1,1,0.1502
4385,1,0,0.0695
4390,26,0,0.1426
4395,8,1,0.1837
4400,189,249,0.1661
4405,17,0,0.1679
4410,0,16,0.1575
4415,0,0,0.1991
4420,0,0,0.1735
4425,34,178,0.144
4430,9,1,0.1079
4435,1,0,0.1647
4440,14,0,0.1758
4445,1,0,0.1625
4450,216,28,0.1972
4455,0,0,0.2222
4460,22,0,0.1848
4465,5,0,0.2259
4470,3,0,0.2148
4475,36,2,0.184
4480,3,0,0.1822
4485,2,0,0.188
4490,4,1,0.1914
4495,0,0,0.2403
4500,96,7,0.2029
4505,4,0,0.1817
4510,25,0,0.2018
4515,0,0,0.2028
4520,2,0,0.2065
4525,58,8,0.275
4530,2,0,0.2553
4535,3,2,0.2572
4540,19,1,0.2559
4545,5,0,0.2507
4550,22,1,0.2198
4555,1,0,0.3126
4560,16,0,0.2487
4565,5,0,0.2926
4570,5,0,0.2547
4575,54,58,0.2263
4580,2,0,0.273
4585,1,0,0.2641
4590,2,0,0.2783
4595,10,0,0.2841
4600,190,20,0.2411
4605,1,0,0.2857
4610,1,0,0.2976
4615,12,2,0.2914
4620,0,0,0.2968
4625,114,13,0.2993
4630,1,0,0.3016
4635,0,0,0.2536
4640,0,0,0.3056
4645,0,0,0.2695
4650,499,4,0.3123
4655,0,0,0.272
4660,0,0,0.3145
4665,0,0,0.3196
4670,10,0,0.3288
4675,34,1,0.3331
4680,0,0,0.33
4685,0,0,0.3349
4690,0,1,0.3348
4695,0,0,0.3397
4700,191,0,0.3748
4705,0,0,0.3438
4710,0,0,0.3486
4715,0,0,0.3473
4720,0,0,0.2961
4725,8,0,0.3566
4730,0,0,0.3612
4735,2,0,0.383
4740,0,0,0.3636
4745,0,0,0.3681
4750,546,1,0.3726
4755,0,0,0.377
4760,0,0,0.3738
4765,0,0,0.3782
4770,0,0,0.3825
4775,8,0,0.3869
4780,0,0,0.3913
4785,0,0,0.3865
4790,0,0,0.3908
4795,0,0,0.395
4800,15,0,0.3993
4805,0,0,0.4035
4810,0,0,0.4077
4815,5,0,0.3879
4820,0,0,0.4161
4825,3,0,0.4092
4830,2,0,0.4132
4835,0,0,0.4173
4840,0,0,0.4214
4845,0,0,0.4254
4850,6,0,0.4295
4855,0,0,0.4196
4860,0,0,0.4235
4865,0,0,0.4275
4870,0,0,0.4314
4875,16,0,0.4353
4880,0,0,0.4392
4900,13,0,0.4696
4925,4,0,0.4542
4950,0,0,0.4726
4975,4,0,0.4908
5000,29,0,0.4767
5025,6,0,0.4937
5050,0,0,0.5105
5075,20,0,0.5272
5100,34,0,0.5438
5200,9,0,0.6088
5250,2,0,0.6406
5300,3,0,0.672
5400,1,0,0.7334
5500,0,0,0.7932
5600,0,0,0.8516
5750,0,0,0.9365
6000,0,0,0.0
